# file...... HVAC_Data.csv;;;;;
# date...... Fri Jun 12 18:57:12 2020;;;;;
# user...... User;;;;;
# host...... (null);;;;;
# group..... class=house;;;;;
# trigger... (none);;;;;
# interval.. 30;;;;;
# limit..... 5760;;;;;
# property.. timestamp;sum(hvac_power.real);sum(hvac_power.imag);sum(is_HEAT_on);sum(is_AUX_on);sum(is_COOL_on) 
2000-08-01 00:00:00 PDT;0;0;0;0;0
2000-08-01 00:00:30 PDT;0;0;0;0;0
2000-08-01 00:01:00 PDT;0;0;0;0;0
2000-08-01 00:01:30 PDT;0;0;0;0;0
2000-08-01 00:02:00 PDT;0;0;0;0;0
2000-08-01 00:02:30 PDT;0;0;0;0;0
2000-08-01 00:03:00 PDT;0;0;0;0;0
2000-08-01 00:03:30 PDT;0;0;0;0;0
2000-08-01 00:04:00 PDT;0;0;0;0;0
2000-08-01 00:04:30 PDT;0;0;0;0;0
2000-08-01 00:05:00 PDT;0;0;0;0;0
2000-08-01 00:05:30 PDT;0;0;0;0;0
2000-08-01 00:06:00 PDT;0;0;0;0;0
2000-08-01 00:06:30 PDT;0;0;0;0;0
2000-08-01 00:07:00 PDT;0;0;0;0;0
2000-08-01 00:07:30 PDT;0;0;0;0;0
2000-08-01 00:08:00 PDT;0;0;0;0;0
2000-08-01 00:08:30 PDT;0;0;0;0;0
2000-08-01 00:09:00 PDT;0;0;0;0;0
2000-08-01 00:09:30 PDT;0;0;0;0;0
2000-08-01 00:10:00 PDT;0;0;0;0;0
2000-08-01 00:10:30 PDT;0;0;0;0;0
2000-08-01 00:11:00 PDT;0;0;0;0;0
2000-08-01 00:11:30 PDT;0;0;0;0;0
2000-08-01 00:12:00 PDT;0;0;0;0;0
2000-08-01 00:12:30 PDT;0;0;0;0;0
2000-08-01 00:13:00 PDT;0;0;0;0;0
2000-08-01 00:13:30 PDT;0;0;0;0;0
2000-08-01 00:14:00 PDT;0;0;0;0;0
2000-08-01 00:14:30 PDT;0;0;0;0;0
2000-08-01 00:15:00 PDT;0;0;0;0;0
2000-08-01 00:15:30 PDT;0;0;0;0;0
2000-08-01 00:16:00 PDT;0,95057;0,277249;3;0;0
2000-08-01 00:16:30 PDT;1,37322;0,400523;4;0;0
2000-08-01 00:17:00 PDT;1,37318;0,400511;4;0;0
2000-08-01 00:17:30 PDT;1,37318;0,40051;4;0;0
2000-08-01 00:18:00 PDT;1,05617;0,30805;3;0;0
2000-08-01 00:18:30 PDT;0,633459;0,184759;2;0;0
2000-08-01 00:19:00 PDT;0,317096;0,0924864;1;0;0
2000-08-01 00:19:30 PDT;0;0;0;0;0
2000-08-01 00:20:00 PDT;0;0;0;0;0
2000-08-01 00:20:30 PDT;0;0;0;0;0
2000-08-01 00:21:00 PDT;0,952121;0,277702;3;0;0
2000-08-01 00:21:30 PDT;1,58655;0,462745;5;0;0
2000-08-01 00:22:00 PDT;3,81005;1,11127;12;0;0
2000-08-01 00:22:30 PDT;6,34888;1,85176;20;0;0
2000-08-01 00:23:00 PDT;7,30219;2,12981;23;0;0
2000-08-01 00:23:30 PDT;10,7861;3,14595;34;0;0
2000-08-01 00:24:00 PDT;13,6376;3,97764;43;0;0
2000-08-01 00:24:30 PDT;13,637;3,97745;43;0;0
2000-08-01 00:25:00 PDT;15,1157;4,40876;48;0;0
2000-08-01 00:25:30 PDT;14,1679;4,13231;45;0;0
2000-08-01 00:26:00 PDT;12,5788;3,66882;40;0;0
2000-08-01 00:26:30 PDT;12,2591;3,57556;39;0;0
2000-08-01 00:27:00 PDT;10,1469;2,9595;32;0;0
2000-08-01 00:27:30 PDT;8,56505;2,49814;27;0;0
2000-08-01 00:28:00 PDT;6,34509;1,85065;20;0;0
2000-08-01 00:28:30 PDT;4,7616;1,3888;15;0;0
2000-08-01 00:29:00 PDT;3,80925;1,11103;12;0;0
2000-08-01 00:29:30 PDT;2,85637;0,833108;9;0;0
2000-08-01 00:30:00 PDT;2,53755;0,740118;8;0;0
2000-08-01 00:30:30 PDT;2,22089;0,647761;7;0;0
2000-08-01 00:31:00 PDT;2,22294;0,648358;7;0;0
2000-08-01 00:31:30 PDT;1,26978;0,370352;4;0;0
2000-08-01 00:32:00 PDT;2,00996;0,586238;6;0;0
2000-08-01 00:32:30 PDT;1,37571;0,40125;4;0;0
2000-08-01 00:33:00 PDT;1,05674;0,308216;3;0;0
2000-08-01 00:33:30 PDT;0,740038;0,215844;2;0;0
2000-08-01 00:34:00 PDT;0;0;0;0;0
2000-08-01 00:34:30 PDT;0;0;0;0;0
2000-08-01 00:35:00 PDT;0;0;0;0;0
2000-08-01 00:35:30 PDT;0,317258;0,0925336;1;0;0
2000-08-01 00:36:00 PDT;0,317229;0,092525;1;0;0
2000-08-01 00:36:30 PDT;0,317234;0,0925265;1;0;0
2000-08-01 00:37:00 PDT;1,2693;0,370214;4;0;0
2000-08-01 00:37:30 PDT;1,26923;0,370192;4;0;0
2000-08-01 00:38:00 PDT;1,90736;0,556314;6;0;0
2000-08-01 00:38:30 PDT;2,54157;0,741292;8;0;0
2000-08-01 00:39:00 PDT;3,17535;0,926145;10;0;0
2000-08-01 00:39:30 PDT;3,81013;1,11129;12;0;0
2000-08-01 00:40:00 PDT;3,80996;1,11124;12;0;0
2000-08-01 00:40:30 PDT;3,80909;1,11098;12;0;0
2000-08-01 00:41:00 PDT;4,33549;1,26452;14;0;0
2000-08-01 00:41:30 PDT;5,28447;1,5413;17;0;0
2000-08-01 00:42:00 PDT;5,59875;1,63297;18;0;0
2000-08-01 00:42:30 PDT;5,59926;1,63312;18;0;0
2000-08-01 00:43:00 PDT;4,43746;1,29426;14;0;0
2000-08-01 00:43:30 PDT;2,5366;0,739842;8;0;0
2000-08-01 00:44:00 PDT;2,53562;0,739555;8;0;0
2000-08-01 00:44:30 PDT;2,536;0,739666;8;0;0
2000-08-01 00:45:00 PDT;3,80281;1,10915;12;0;0
2000-08-01 00:45:30 PDT;4,75425;1,38666;15;0;0
2000-08-01 00:46:00 PDT;5,81284;1,69541;18;0;0
2000-08-01 00:46:30 PDT;6,76531;1,97321;21;0;0
2000-08-01 00:47:00 PDT;6,4497;1,88116;20;0;0
2000-08-01 00:47:30 PDT;6,76701;1,97371;21;0;0
