# file...... Voltage_675.csv;;;;;;
# date...... Fri Jun 12 18:57:12 2020;;;;;;
# user...... User;;;;;;
# host...... (null);;;;;;
# target.... node 51;;;;;;
# trigger... (none);;;;;;
# interval.. 30;;;;;;
# limit..... 5760;;;;;;
# timestamp;voltage_A.real;voltage_A.imag;voltage_B.real;voltage_B.imag;voltage_C.real;voltage_C.imag
2000-08-01 00:00:00 PDT;2436,94;-54,4474;-1266,17;-2099,73;-1192,18;2144,53
2000-08-01 00:00:30 PDT;2421,67;-54,2463;-1258,45;-2086,56;-1184,71;2131,21
2000-08-01 00:01:00 PDT;2421,83;-54,3527;-1250,53;-2073,56;-1177,05;2117,76
2000-08-01 00:01:30 PDT;2421,89;-54,1307;-1250,52;-2073,45;-1177,09;2117,85
2000-08-01 00:02:00 PDT;2421,91;-54,0355;-1250,5;-2073,42;-1177,12;2117,88
2000-08-01 00:02:30 PDT;2421,94;-54,0848;-1250,44;-2073,53;-1177,1;2117,83
2000-08-01 00:03:00 PDT;2421,93;-54,012;-1250,46;-2073,49;-1177,18;2117,85
2000-08-01 00:03:30 PDT;2421,98;-53,997;-1250,4;-2073,55;-1177,15;2117,84
2000-08-01 00:04:00 PDT;2422,06;-53,9796;-1250,28;-2073,67;-1177,21;2117,81
2000-08-01 00:04:30 PDT;2422,16;-53,7768;-1250,25;-2073,57;-1177,21;2117,88
2000-08-01 00:05:00 PDT;2404,29;-38,3631;-1206,2;-2054,28;-1170,42;2062,45
2000-08-01 00:05:30 PDT;2404,27;-38,3269;-1206,22;-2054,28;-1178,04;2075,46
2000-08-01 00:06:00 PDT;2404,38;-38,1701;-1206,14;-2054,27;-1178;2075,5
2000-08-01 00:06:30 PDT;2404,42;-38,1121;-1206,1;-2054,28;-1178;2075,52
2000-08-01 00:07:00 PDT;2404,49;-38,1455;-1205,99;-2054,46;-1177,98;2075,46
2000-08-01 00:07:30 PDT;2404,52;-38,1115;-1205,96;-2054,5;-1177,98;2075,45
2000-08-01 00:08:00 PDT;2404,53;-38,1328;-1205,89;-2054,59;-1178,04;2075,41
2000-08-01 00:08:30 PDT;2404,6;-38,1099;-1205,81;-2054,64;-1178;2075,4
2000-08-01 00:09:00 PDT;2404,6;-38,1086;-1205,8;-2054,7;-1178,07;2075,39
2000-08-01 00:09:30 PDT;2404,57;-38,0762;-1205,83;-2054,69;-1178,16;2075,39
2000-08-01 00:10:00 PDT;2406,22;-29,7819;-1203,94;-2046,43;-1176,7;2099,91
2000-08-01 00:10:30 PDT;2406,23;-29,7485;-1203,93;-2046,46;-1176,76;2099,91
2000-08-01 00:11:00 PDT;2406,3;-29,8009;-1203,81;-2046,61;-1176,72;2099,85
2000-08-01 00:11:30 PDT;2406,31;-29,7663;-1203,78;-2046,65;-1176,79;2099,84
2000-08-01 00:12:00 PDT;2406,35;-29,7377;-1203,74;-2046,69;-1176,77;2099,84
2000-08-01 00:12:30 PDT;2406,41;-29,8363;-1203,59;-2046,91;-1176,74;2099,75
2000-08-01 00:13:00 PDT;2406,4;-29,7512;-1203,61;-2046,87;-1176,81;2099,78
2000-08-01 00:13:30 PDT;2406,4;-29,777;-1203,56;-2046,98;-1176,91;2099,72
2000-08-01 00:14:00 PDT;2406,43;-29,8188;-1203,47;-2047,17;-1176,98;2099,67
2000-08-01 00:14:30 PDT;2406,49;-29,7233;-1203,45;-2047,13;-1176,95;2099,7
2000-08-01 00:15:00 PDT;2397,3;-33,7493;-1225,15;-2057,9;-1185,26;2097,22
2000-08-01 00:15:30 PDT;2397,33;-33,7071;-1225,12;-2057,94;-1185,28;2097,22
2000-08-01 00:16:00 PDT;2397,14;-33,7582;-1225,26;-2057,87;-1185,43;2097,21
2000-08-01 00:16:30 PDT;2397,02;-33,8539;-1225,25;-2058,02;-1185,51;2097,15
2000-08-01 00:17:00 PDT;2397,01;-33,8461;-1225,26;-2058,03;-1185,56;2097,14
2000-08-01 00:17:30 PDT;2397,05;-33,7952;-1225,22;-2058,05;-1185,54;2097,15
2000-08-01 00:18:00 PDT;2397,19;-33,7103;-1225,13;-2058,05;-1185,49;2097,17
2000-08-01 00:18:30 PDT;2397,41;-33,4794;-1225,04;-2057,96;-1185,4;2097,24
2000-08-01 00:19:00 PDT;2397,42;-33,5093;-1225,02;-2058,02;-1185,42;2097,22
2000-08-01 00:19:30 PDT;2397,48;-33,4933;-1224,93;-2058,17;-1185,44;2097,17
2000-08-01 00:20:00 PDT;2397,47;-33,4914;-1224,94;-2058,19;-1185,5;2097,16
