# file...... Voltage_680.csv
# date...... Thu Jun 11 17:40:01 2020
# user...... User
# host...... (null)
# target.... node 44
# trigger... (none)
# interval.. 60
# limit..... 2880
# timestamp,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-08-01 00:00:00 PDT,+2428.73,-36.5838,-1247.74,-2105.78,-1201.93,+2125.15
2000-08-01 00:01:00 PDT,+2413.55,-36.5054,-1240.09,-2092.67,-1194.43,+2111.93
2000-08-01 00:02:00 PDT,+2413.78,-36.216,-1232.3,-2079.42,-1186.81,+2098.79
2000-08-01 00:03:00 PDT,+2413.8,-36.1836,-1232.25,-2079.47,-1186.86,+2098.77
2000-08-01 00:04:00 PDT,+2413.9,-36.1711,-1232.08,-2079.63,-1186.87,+2098.72
2000-08-01 00:05:00 PDT,+2403.58,-28.8845,-1205.94,-2059.33,-1174.82,+2064.91
2000-08-01 00:06:00 PDT,+2403.64,-28.7144,-1205.89,-2059.3,-1182.38,+2077.95
2000-08-01 00:07:00 PDT,+2403.75,-28.6718,-1205.73,-2059.41,-1182.34,+2077.93
2000-08-01 00:08:00 PDT,+2403.8,-28.6553,-1205.63,-2059.51,-1182.38,+2077.89
2000-08-01 00:09:00 PDT,+2403.85,-28.6347,-1205.54,-2059.6,-1182.4,+2077.86
2000-08-01 00:10:00 PDT,+2402.92,-21.5456,-1206.28,-2053.13,-1185.73,+2094.72
2000-08-01 00:11:00 PDT,+2402.98,-21.5716,-1206.15,-2053.27,-1185.73,+2094.67
2000-08-01 00:12:00 PDT,+2403.03,-21.498,-1206.08,-2053.31,-1185.76,+2094.67
2000-08-01 00:13:00 PDT,+2403.09,-21.5028,-1205.95,-2053.45,-1185.8,+2094.61
2000-08-01 00:14:00 PDT,+2403.14,-21.5528,-1205.79,-2053.67,-1185.91,+2094.5
2000-08-01 00:15:00 PDT,+2396.86,-26.8743,-1218.83,-2064.99,-1191.32,+2090.67
2000-08-01 00:16:00 PDT,+2396.75,-26.8602,-1218.92,-2064.92,-1191.47,+2090.67
2000-08-01 00:17:00 PDT,+2396.71,-26.9165,-1218.88,-2065.04,-1191.57,+2090.61
