# file...... reg1_output.csv;;;;;;;;;;;
# date...... Fri Jun 12 18:57:12 2020;;;;;;;;;;;
# user...... User;;;;;;;;;;;
# host...... (null);;;;;;;;;;;
# target.... regulator 58;;;;;;;;;;;
# trigger... (none);;;;;;;;;;;
# interval.. 30;;;;;;;;;;;
# limit..... 5760;;;;;;;;;;;
# timestamp;tap_A;tap_B;tap_C;power_in_A.real;power_in_A.imag;power_in_B.real;power_in_B.imag;power_in_C.real;power_in_C.imag;power_in.real;power_in.imag
2000-08-01 00:00:00 PDT;1;1;1;124952;-150895;121326;-152226;84639,2;-153117;330917;-456238
2000-08-01 00:00:30 PDT;0;0;0;124095;-148998;120468;-150320;83928,7;-151213;328492;-450531
2000-08-01 00:01:00 PDT;0;-1;-1;124101;-149005;119607;-148441;83446,3;-149302;327154;-446748
2000-08-01 00:01:30 PDT;0;-1;-1;123404;-149031;119610;-148432;83247,4;-149310;326261;-446773
2000-08-01 00:02:00 PDT;0;-1;-1;123070;-149042;119474;-148431;83079,1;-149314;325623;-446788
2000-08-01 00:02:30 PDT;0;-1;-1;123073;-149042;119174;-148444;83078,9;-149311;325325;-446798
2000-08-01 00:03:00 PDT;0;-1;-1;122833;-149049;119176;-148442;82826,5;-149319;324835;-446809
2000-08-01 00:03:30 PDT;0;-1;-1;122676;-149055;118957;-148449;82827,4;-149317;324460;-446821
2000-08-01 00:04:00 PDT;0;-1;-1;122451;-149065;118362;-148466;82482,6;-149323;323295;-446854
2000-08-01 00:04:30 PDT;0;-1;-1;121891;-149091;118363;-148459;82388,7;-149327;322643;-446877
2000-08-01 00:05:00 PDT;0;-1;-1;119402;-48327,7;115614;885,683;79811,3;634,008;314827;-46808
2000-08-01 00:05:30 PDT;0;-1;0;119271;-48330,4;115408;884,735;80036;630,165;314716;-46815,5
2000-08-01 00:06:00 PDT;0;-1;0;118740;-48347,6;115205;881,043;79994,3;631,525;313939;-46835
2000-08-01 00:06:30 PDT;0;-1;0;118487;-48354,4;115047;878,11;79947,8;631,565;313482;-46844,8
2000-08-01 00:07:00 PDT;0;-1;0;118357;-48356,9;114583;867,04;79892,4;631,399;312833;-46858,5
2000-08-01 00:07:30 PDT;0;-1;0;118167;-48361,8;114444;864,211;79838,3;631,12;312450;-46866,5
2000-08-01 00:08:00 PDT;0;-1;0;118070;-48362,3;114032;856,962;79576,5;626,945;311678;-46878,4
2000-08-01 00:08:30 PDT;0;-1;0;117914;-48366,9;113746;851,066;79576,5;627,738;311237;-46888,1
2000-08-01 00:09:00 PDT;0;-1;0;117811;-48368,3;113567;847,931;79379,5;624,425;310757;-46896
2000-08-01 00:09:30 PDT;0;-1;0;117706;-48370,5;113567;849,321;79128,4;620,275;310401;-46901
2000-08-01 00:10:00 PDT;0;-1;0;117403;-48767,1;113351;983,72;79591,4;-49204,9;310346;-96988,2
2000-08-01 00:10:30 PDT;0;-1;0;117280;-48770,2;113242;981,967;79407,2;-49209;309930;-96997,2
2000-08-01 00:11:00 PDT;0;-1;0;117233;-48769,8;112672;969,955;79407,6;-49207,2;309312;-97007,1
2000-08-01 00:11:30 PDT;0;-1;0;117029;-48774;112478;966,686;79135,5;-49212,1;308643;-97019,4
2000-08-01 00:12:00 PDT;0;-1;0;116850;-48778,2;112323;963,115;79135,8;-49211,3;308308;-97026,5
2000-08-01 00:12:30 PDT;0;-1;0;116852;-48775,1;111436;946,643;79058,6;-49210,7;307346;-97039,1
2000-08-01 00:13:00 PDT;0;-1;0;116570;-48781,9;111436;948,161;78804,5;-49215,7;306810;-97049,5
2000-08-01 00:13:30 PDT;0;-1;0;116465;-48781,8;111045;941,113;78441,2;-49222,6;305951;-97063,3
2000-08-01 00:14:00 PDT;0;-1;0;116321;-48782,4;110490;929,327;78231,8;-49226,9;305043;-97079,9
2000-08-01 00:14:30 PDT;0;-1;0;116060;-48790,7;110490;929,499;78232,4;-49226,2;304783;-97087,4
2000-08-01 00:15:00 PDT;0;-1;0;116014;-48359,6;111068;-48204,9;77571,9;-49504,8;304654;-146069
2000-08-01 00:15:30 PDT;0;-1;0;115802;-48365;110914;-48209;77457,1;-49506;304173;-146080
2000-08-01 00:16:00 PDT;0;-1;0;116120;-48261,9;111414;-48015,2;77184,6;-49513,2;304719;-145790
2000-08-01 00:16:30 PDT;0;-1;0;116206;-48130,1;111021;-48026,4;77016;-49516,5;304243;-145673
2000-08-01 00:17:00 PDT;0;-1;0;116149;-48131;110980;-48027,1;76857,7;-49519,2;303987;-145677
2000-08-01 00:17:30 PDT;0;-1;0;115916;-48137,4;110855;-48030,4;76858,1;-49518,4;303629;-145686
2000-08-01 00:18:00 PDT;0;-1;0;115598;-48241,3;110688;-48033,6;76859,3;-49516,5;303145;-145791
2000-08-01 00:18:30 PDT;0;-1;0;114907;-48389,2;110688;-48031,6;76861,5;-49513,9;302456;-145935
2000-08-01 00:19:00 PDT;0;-1;0;114908;-48387,8;110372;-48129;76810,4;-49514,9;302090;-146032
